"Time Sec","Position mm","100 kN kN","Cycle"
30.2,36.1018,0.00596046,1
30.3,36.1003,0.0048995,1
30.4,36.0999,0.00481606,1
30.5,36.0979,0.00683069,1
30.6,36.0982,0.00312328,1
30.7,36.0977,0.298023E-3,1
30.8,36.0983,0.00907183,1
30.9,36.0951,0.0015974,1
31.,36.0967,0.0015378,1
31.1,36.0969,-0.798702E-3,1
31.2,36.0967,-0.00219345,1
31.3,36.0964,0.00408888,1
31.4,36.0954,0.00439882,1
31.5,36.0967,0.00861883,1
31.6,36.094,0.00280142,1
31.7,36.0965,0.00988245,1
31.8,36.0944,0.00184774,1
31.9,36.0959,0.0100255,1
